region_id,region_type,geoid,name,year,ag_cells,ag_acres,developed_cells,developed_acres,valid_cells,valid_acres
state:OH,state,39,Ohio,1985,61335796,13640764.7413275,16955041,3770713.68667918,118730703,26405096.0909585
county:39001,county,39001,Adams County,1985,568408,126411.008101835,100095,22260.6118421154,1687198,375224.134859817
county:39003,county,39003,Allen County,1985,861748,191648.311441323,199032,44263.6904556662,1171210,260471.064444817
county:39005,county,39005,Ashland County,1985,731884,162767.227508415,122994,27353.2313593001,1228405,273190.937508505
county:39007,county,39007,Ashtabula County,1985,720345,160201.013411345,240372,53457.4932785151,2041169,453945.459944641
county:39009,county,39009,Athens County,1985,245012,54489.4053515198,128916,28670.2536214411,1462779,325314.506516786
county:39011,county,39011,Auglaize County,1985,930592,206958.862034845,123798,27532.0368133294,1156582,257217.872676732
county:39013,county,39013,Belmont County,1985,454236,101019.744050304,156767,34864.1724027464,1557937,346477.155017431
county:39015,county,39015,Brown County,1985,833218,185303.386561404,114844,25540.7133862421,1418496,315466.195670047
county:39017,county,39017,Butler County,1985,717601,159590.761961275,344235,76556.0888902602,1352569,300804.370834489
county:39019,county,39019,Carroll County,1985,403975,89841.956830197,94364,20986.0669950485,1148116,255335.077933185
county:39021,county,39021,Champaign County,1985,985191,219101.398085274,97071,21588.0898359157,1236730,275042.374579144
county:39023,county,39023,Clark County,1985,811783,180536.35309484,204004,45369.4376166533,1155670,257015.048579624
county:39025,county,39025,Clermont County,1985,490534,109092.232073133,214003,47593.16365501,1323627,294367.819279122
county:39027,county,39027,Clinton County,1985,931630,207189.707882212,105711,23509.5812822005,1186670,263909.288722544
county:39029,county,39029,Columbiana County,1985,624745,138940.066389953,206589,45944.3282866355,1538677,342193.830335088
county:39031,county,39031,Coshocton County,1985,559136,124348.963114572,122187,27173.7587207408,1632802,363126.744962583
county:39033,county,39033,Crawford County,1985,923836,205456.362473376,119043,26474.5493333428,1158895,257732.271949331
county:39035,county,39035,Cuyahoga County,1985,24736,5501.15884436352,1022653,227432.753705728,1320345,293637.919403345
county:39037,county,39037,Darke County,1985,1457079,324046.855909862,154989,34468.7543713235,1725948,383841.935038467
county:39039,county,39039,Defiance County,1985,916047,203724.129038756,117470,26124.7222448004,1191770,265043.502423476
county:39041,county,39041,Delaware County,1985,867586,192946.652536626,164434,36569.2736664809,1316041,292680.731997696
county:39043,county,39043,Erie County,1985,426954,94952.3679348473,142199,31624.3243252607,739847,164538.157645772
county:39045,county,39045,Fairfield County,1985,929308,206673.307056023,179426,39903.4171575343,1463368,325445.497079502
county:39047,county,39047,Fayette County,1985,1026505,228289.418642197,88126,19598.7679624183,1171090,260444.377063619
county:39049,county,39049,Franklin County,1985,572532,127328.164435686,819133,182170.955193242,1564407,347916.049653711
county:39051,county,39051,Fulton County,1985,976677,217207.928389248,110724,24624.4466317637,1172318,260717.477931216
county:39053,county,39053,Gallia County,1985,311981,69382.9656138169,108742,24183.6600523034,1355917,301548.948769925
county:39055,county,39055,Geauga County,1985,296423,65922.9466414444,174479,38803.2298676303,1175283,261376.87864166
county:39057,county,39057,Greene County,1985,789589,175600.521942195,223032,49601.1666953462,1197827,266390.547989466
county:39059,county,39059,Guernsey County,1985,422519,93966.0468047231,134708,29958.3645539506,1520278,338101.987612843
county:39061,county,39061,Hamilton County,1985,125721,27959.7020970337,707161,157268.959797015,1187507,264095.433206403
county:39063,county,39063,Hancock County,1985,1253978,278878.240836727,174124,38724.2796982517,1535617,341513.302114528
county:39065,county,39065,Hardin County,1985,1145144,254674.120458838,106340,23649.4676386488,1353891,301098.376817358
county:39067,county,39067,Harrison County,1985,339261,75449.8969395865,86924,19331.4493607477,1181884,262844.907002415
county:39069,county,39069,Henry County,1985,1031595,229421.408394695,110976,24680.4901322803,1207784,268604.933444403
county:39071,county,39071,Highland County,1985,1045640,232544.943969125,119764,26634.8960153765,1605796,357120.749823883
county:39073,county,39073,Hocking County,1985,162283,36090.9023584996,81959,18227.2589636639,1219168,271136.676340758
county:39075,county,39075,Holmes County,1985,645955,143657.061016771,95733,21290.5255355536,1220470,271426.23442676
county:39077,county,39077,Huron County,1985,1039008,231070.021368227,140907,31336.9901876912,1426112,317159.954796772
county:39079,county,39079,Jackson County,1985,286238,63657.8551622302,98622,21933.024237905,1212817,269724.246690832
county:39081,county,39081,Jefferson County,1985,259389,57686.7760139315,140081,31153.2920471089,1182376,262954.325265328
county:39083,county,39083,Knox County,1985,894738,198985.11732245,135930,30230.1310524876,1524066,338944.419279339
county:39085,county,39085,Lake County,1985,89568,19919.4613264858,283308,63006.2382713026,663420,147541.186955354
county:39087,county,39087,Lawrence County,1985,120996,26908.8864623467,127511,28357.7888665765,1316261,292729.658863227
county:39089,county,39089,Licking County,1985,1068348,237595.086071235,241885,53793.9766764582,1977859,439865.642414052
county:39091,county,39091,Logan County,1985,971898,216145.103433021,124989,27796.9090717235,1343480,298783.024103554
county:39093,county,39093,Lorain County,1985,683616,152032.673211045,358991,79837.7471982901,1422075,316262.146814289
county:39095,county,39095,Lucas County,1985,389698,86666.8256521174,429460,95509.6894122072,999004,222173.338056053
county:39097,county,39097,Madison County,1985,1182524,262987.23970214,92559,20584.6443028559,1345748,299287.415608203
county:39099,county,39099,Mahoning County,1985,431803,96030.760530106,344913,76706.8725940312,1223429,272084.300768144
county:39101,county,39101,Marion County,1985,933351,207572.449407565,128830,28651.1276649156,1163158,258680.341166405
county:39103,county,39103,Medina County,1985,616193,137038.145689881,214585,47722.5974538222,1217497,270765.05455757
county:39105,county,39105,Meigs County,1985,247770,55102.7703293964,91066,20252.6088017791,1246019,277108.200278743
county:39107,county,39107,Mercer County,1985,1113776,247698.039013576,122285,27195.5534153862,1362330,302975.166900136
county:39109,county,39109,Miami County,1985,893827,198782.515620186,164363,36553.4836326052,1179027,262209.52493505
county:39111,county,39111,Monroe County,1985,213665,47517.9941979678,86671,19275.1834653877,1316446,292770.801909241
county:39113,county,39113,Montgomery County,1985,589278,131052.388481923,556926,123857.470510834,1335964,297111.504461161
county:39115,county,39115,Morgan County,1985,260924,58028.1520984277,78380,17431.3078194216,1213599,269898.159458309
county:39117,county,39117,Morrow County,1985,803220,178631.98605149,97216,21620.3370881971,1171686,260576.924390238
county:39119,county,39119,Muskingum County,1985,632617,140690.758596568,202140,44954.8936287048,1936010,430558.640615953
county:39121,county,39121,Noble County,1985,247037,54939.7549092429,77471,17229.1509068437,1164316,258937.874394969
county:39123,county,39123,Ottawa County,1985,485210,107908.201927297,114090,25373.0276743788,759930,169004.513284168
county:39125,county,39125,Paulding County,1985,1021471,227169.883000924,98690,21948.1470872508,1205299,268052.282258753
county:39127,county,39127,Perry County,1985,364848,81140.3137956154,93067,20697.6208832624,1187095,264003.806530955
county:39129,county,39129,Pickaway County,1985,1200213,266921.182085627,121103,26932.682710582,1457778,324202.309905343
county:39131,county,39131,Pike County,1985,319183,70984.6532754076,90256,20072.4689786899,1277175,284037.134017221
county:39133,county,39133,Portage County,1985,499943,111184.745153931,243280,54104.2174828896,1450492,322581.941076913
county:39135,county,39135,Preble County,1985,927603,206294.123848162,110761,24632.6752409665,1227534,272997.231599973
county:39137,county,39137,Putnam County,1985,1207086,268449.701843766,125687,27952.1406723608,1393400,309884.974682088
county:39139,county,39139,Richland County,1985,772720,171848.94333023,226131,50290.3683147949,1439189,320068.212162868
county:39141,county,39141,Ross County,1985,911271,202661.97126706,161634,35946.5681051849,1994642,443598.095069492
county:39143,county,39143,Sandusky County,1985,903514,200936.854467427,143382,31887.4174249082,1184537,263434.920521743
county:39145,county,39145,Scioto County,1985,316487,70385.0767778168,157438,35013.3993426142,1773271,394366.3262089
county:39147,county,39147,Seneca County,1985,1274444,283429.773700114,161366,35886.9662871751,1590739,353772.150668014
county:39149,county,39149,Shelby County,1985,935450,208039.256183694,117775,26192.552672013,1181778,262821.333149023
county:39151,county,39151,Stark County,1985,729941,162335.114327844,507029,112760.635013696,1670468,371503.469131074
county:39153,county,39153,Summit County,1985,139352,30991.1662063286,639726,142271.76353773,1209045,268885.373341829
county:39155,county,39155,Trumbull County,1985,593148,131913.056525571,371969,82723.9874748971,1830775,407154.919279173
county:39157,county,39157,Tuscarawas County,1985,527952,117413.802320481,197036,43819.7903483995,1644968,365832.400626414
county:39159,county,39159,Union County,1985,1023068,227525.047565706,110239,24516.5851327535,1257274,279611.25424031
county:39161,county,39161,Van Wert County,1985,1033777,229906.67394282,105356,23430.6311128219,1181238,262701.23993363
county:39163,county,39163,Vinton County,1985,140821,31317.8642311657,63804,14189.6805831893,1194610,265675.103778505
county:39165,county,39165,Warren County,1985,649533,144452.78976617,192163,42736.0602769012,1172576,260774.855800792
county:39167,county,39167,Washington County,1985,395616,87982.9583348851,171429,38124.9255955043,1841521,409544.77426549
county:39169,county,39169,Wayne County,1985,1102631,245219.448484775,207650,46180.289215398,1601986,356273.425470834
county:39171,county,39171,Williams County,1985,937095,208405.095700955,119874,26659.3594481417,1217821,270837.110486806
county:39173,county,39173,Wood County,1985,1441701,320626.868009287,251821,56003.6918396857,1785839,397161.384599746
county:39175,county,39175,Wyandot County,1985,950849,211463.914375979,96075,21366.584571969,1172927,260852.916390798
state:OH,state,39,Ohio,1986,61271681,13626505.895948,17013484,3783711.10850733,118730703,26405096.0909585
county:39001,county,39001,Adams County,1986,568111,126344.956833369,100428,22334.669324941,1687198,375224.134859817
county:39003,county,39003,Allen County,1986,860970,191475.28825322,199574,44384.2284607457,1171210,260471.064444817
county:39005,county,39005,Ashland County,1986,731274,162631.56665399,123495,27464.6511758034,1228405,273190.937508505
county:39007,county,39007,Ashtabula County,1986,719691,160055.567183814,241011,53599.6035833965,2041169,453945.459944641
county:39009,county,39009,Athens County,1986,244724,54425.3556366437,129148,28721.8492250914,1462779,325314.506516786
county:39011,county,39011,Auglaize County,1986,929895,206803.852829051,124115,27602.5359786618,1156582,257217.872676732
county:39013,county,39013,Belmont County,1986,453826,100928.562164542,157104,34939.1194649453,1557937,346477.155017431
county:39015,county,39015,Brown County,1986,832490,185141.483115467,115390,25662.1409706948,1418496,315466.195670047
county:39017,county,39017,Butler County,1986,715492,159121.731236713,346101,76971.0776678953,1352569,300804.370834489
county:39019,county,39019,Carroll County,1986,403724,89786.1357245237,94635,21046.3359975882,1148116,255335.077933185
county:39021,county,39021,Champaign County,1986,984576,218964.625256632,97427,21667.2624001376,1236730,275042.374579144
county:39023,county,39023,Clark County,1986,811042,180371.558515939,204746,45534.4545903967,1155670,257015.048579624
county:39025,county,39025,Clermont County,1986,489673,108900.750113034,214795,47769.3003709194,1323627,294367.819279122
county:39027,county,39027,Clinton County,1986,931195,207092.966125367,106137,23604.3214854548,1186670,263909.288722544
county:39029,county,39029,Columbiana County,1986,624023,138779.497313076,207390,46122.4665561348,1538677,342193.830335088
county:39031,county,39031,Coshocton County,1986,558751,124263.341099893,122578,27260.715104479,1632802,363126.744962583
county:39033,county,39033,Crawford County,1986,923399,205359.175926845,119304,26532.5943874493,1158895,257732.271949331
county:39035,county,39035,Cuyahoga County,1986,24200,5381.955208344,1024043,227741.882537943,1320345,293637.919403345
county:39037,county,39037,Darke County,1986,1455925,323790.212260671,155539,34591.0715351495,1725948,383841.935038467
county:39039,county,39039,Defiance County,1986,915576,203619.381067552,117702,26176.3178484506,1191770,265043.502423476
county:39041,county,39041,Delaware County,1986,865821,192554.125638166,165928,36901.531562401,1316041,292680.731997696
county:39043,county,39043,Erie County,1986,426184,94781.1239054909,142611,31715.9510007085,739847,164538.157645772
county:39045,county,39045,Fairfield County,1986,927899,206359.952721785,180906,40232.5615256479,1463368,325445.497079502
county:39047,county,39047,Fayette County,1986,1026209,228223.589768574,88462,19673.4926297738,1171090,260444.377063619
county:39049,county,39049,Franklin County,1986,567826,126281.574303022,823673,183180.627781914,1564407,347916.049653711
county:39051,county,39051,Fulton County,1986,976017,217061.147792656,111092,24706.2879341054,1172318,260717.477931216
county:39053,county,39053,Gallia County,1986,311986,69384.0775880335,109127,24269.2820669816,1355917,301548.948769925
county:39055,county,39055,Geauga County,1986,295555,65729.9079174426,175549,39041.1923499827,1175283,261376.87864166
county:39057,county,39057,Greene County,1986,788600,175380.573442152,224027,49822.4495644497,1197827,266390.547989466
county:39059,county,39059,Guernsey County,1986,422099,93872.6409705287,135023,30028.4189295964,1520278,338101.987612843
county:39061,county,39061,Hamilton County,1986,124773,27748.8717855664,708228,157506.255094837,1187507,264095.433206403
county:39063,county,39063,Hancock County,1986,1253280,278723.00923609,174546,38818.1303221327,1535617,341513.302114528
county:39065,county,39065,Hardin County,1986,1144695,254574.265174187,106552,23696.6153454326,1353891,301098.376817358
county:39067,county,39067,Harrison County,1986,339072,75407.8643141991,87092,19368.8116944254,1181884,262844.907002415
county:39069,county,39069,Henry County,1986,1031266,229348.240491243,111140,24716.9628865848,1207784,268604.933444403
county:39071,county,39071,Highland County,1986,1045232,232454.20687305,120154,26721.6300042713,1605796,357120.749823883
county:39073,county,39073,Hocking County,1986,162396,36116.0329757947,82129,18265.0660870283,1219168,271136.676340758
county:39075,county,39075,Holmes County,1986,645530,143562.54320836,96170,21387.7120820844,1220470,271426.23442676
county:39077,county,39077,Huron County,1986,1038069,230861.192610349,141302,31424.8361508026,1426112,317159.954796772
county:39079,county,39079,Jackson County,1986,286429,63700.3325773043,98847,21983.063077652,1212817,269724.246690832
county:39081,county,39081,Jefferson County,1986,259163,57636.5147793412,140290,31199.7725693628,1182376,262954.325265328
county:39083,county,39083,Knox County,1986,894544,198941.972722846,136463,30348.6675039772,1524066,338944.419279339
county:39085,county,39085,Lake County,1986,88787,19745.7709538528,284345,63236.8617238254,663420,147541.186955354
county:39087,county,39087,Lawrence County,1986,120803,26865.964257586,127780,28417.6130794296,1316261,292729.658863227
county:39089,county,39089,Licking County,1986,1066898,237272.613548421,243217,54090.2066077604,1977859,439865.642414052
county:39091,county,39091,Logan County,1986,971231,215996.766072527,125489,27908.1064933835,1343480,298783.024103554
county:39093,county,39093,Lorain County,1986,682081,151691.297126549,360217,80110.4032762005,1422075,316262.146814289
county:39095,county,39095,Lucas County,1986,387951,86278.3018608373,430639,95771.8929324815,999004,222173.338056053
county:39097,county,39097,Madison County,1986,1181811,262828.672178853,93093,20703.4031491888,1345748,299287.415608203
county:39099,county,39099,Mahoning County,1986,431740,96016.7496549768,345983,76944.8350763836,1223429,272084.300768144
county:39101,county,39101,Marion County,1986,932673,207421.665703794,129188,28730.7450188242,1163158,258680.341166405
county:39103,county,39103,Medina County,1986,615117,136798.848838468,215760,47983.9113947232,1217497,270765.05455757
county:39105,county,39105,Meigs County,1986,247611,55067.4095493085,91274,20298.8669291897,1246019,277108.200278743
county:39107,county,39107,Mercer County,1986,1112853,247492.768573192,122683,27284.0665630276,1362330,302975.166900136
county:39109,county,39109,Miami County,1986,893021,198603.26537647,164930,36679.5815087676,1179027,262209.52493505
county:39111,county,39111,Monroe County,1986,213486,47478.1855210135,86833,19311.2114300056,1316446,292770.801909241
county:39113,county,39113,Montgomery County,1986,587856,130736.143014722,558497,124206.85280969,1335964,297111.504461161
county:39115,county,39115,Morgan County,1986,260821,58005.2454295657,78517,17461.7759129564,1213599,269898.159458309
county:39117,county,39117,Morrow County,1986,802399,178449.399885125,97547,21693.949781336,1171686,260576.924390238
county:39119,county,39119,Muskingum County,1986,632449,140653.396262891,202701,45079.6571358073,1936010,430558.640615953
county:39121,county,39121,Noble County,1986,246906,54910.6211847679,77670,17273.4074806644,1164316,258937.874394969
county:39123,county,39123,Ottawa County,1986,484845,107827.027809485,114428,25448.197131421,759930,169004.513284168
county:39125,county,39125,Paulding County,1986,1021181,227105.388496361,98779,21967.9402283063,1205299,268052.282258753
county:39127,county,39127,Perry County,1986,364923,81156.9934088644,93299,20749.2164869127,1187095,264003.806530955
county:39129,county,39129,Pickaway County,1986,1199468,266755.497927354,121705,27066.5644062606,1457778,324202.309905343
county:39131,county,39131,Pike County,1986,318717,70881.0172784205,90443,20114.0568143908,1277175,284037.134017221
county:39133,county,39133,Portage County,1986,498621,110890.739171062,244443,54362.8626856708,1450492,322581.941076913
county:39135,county,39135,Preble County,1986,927229,206210.94817676,111104,24708.9566722253,1227534,272997.231599973
county:39137,county,39137,Putnam County,1986,1206704,268364.747013617,125917,28003.2914863244,1393400,309884.974682088
county:39139,county,39139,Richland County,1986,772170,171726.626166404,226819,50443.3759669991,1439189,320068.212162868
county:39141,county,39141,Ross County,1986,910855,202569.455012239,162183,36068.6628741676,1994642,443598.095069492
county:39143,county,39143,Sandusky County,1986,902908,200802.083192375,143732,31965.2556200702,1184537,263434.920521743
county:39145,county,39145,Scioto County,1986,316076,70293.6724972123,157864,35108.1395458685,1773271,394366.3262089
county:39147,county,39147,Seneca County,1986,1273763,283278.322811813,161592,35937.2275217654,1590739,353772.150668014
county:39149,county,39149,Shelby County,1986,934208,207763.041788291,118458,26344.4483500006,1181778,262821.333149023
county:39151,county,39151,Stark County,1986,727237,161733.758671507,509420,113292.381084074,1670468,371503.469131074
county:39153,county,39153,Summit County,1986,137138,30498.7840232182,642682,142929.162694584,1209045,268885.373341829
county:39155,county,39155,Trumbull County,1986,592212,131704.894952224,372773,82902.7929289264,1830775,407154.919279173
county:39157,county,39157,Tuscarawas County,1986,527239,117255.234797193,197618,43949.2241472118,1644968,365832.400626414
county:39159,county,39159,Union County,1986,1021900,227265.290388708,111050,24696.947350686,1257274,279611.25424031
county:39161,county,39161,Van Wert County,1986,1033422,229827.723773441,105557,23475.3324763292,1181238,262701.23993363
county:39163,county,39163,Vinton County,1986,140916,31338.9917412811,63907,14212.5872520512,1194610,265675.103778505
county:39165,county,39165,Warren County,1986,648155,144146.329672075,193535,43041.1860019362,1172576,260774.855800792
county:39167,county,39167,Washington County,1986,395228,87896.669135677,171860,38220.7777729752,1841521,409544.77426549
county:39169,county,39169,Wayne County,1986,1101702,245012.843675331,208781,46431.8177831929,1601986,356273.425470834
county:39171,county,39171,Williams County,1986,936491,208270.76921559,120144,26719.4060558381,1217821,270837.110486806
county:39173,county,39173,Wood County,1986,1440563,320373.782677589,252723,56204.2919883604,1785839,397161.384599746
county:39175,county,39175,Wyandot County,1986,950114,211300.454166139,96332,21423.7400467022,1172927,260852.916390798
state:OH,state,39,Ohio,1987,61189079,13608135.6371001,17092560,3801297.2031377,118730703,26405096.0909585
county:39001,county,39001,Adams County,1987,566496,125985.789161407,100957,22452.3161970572,1687198,375224.134859817
county:39003,county,39003,Allen County,1987,860204,191304.933803237,200368,44560.8099663418,1171210,260471.064444817
county:39005,county,39005,Ashland County,1987,730901,162548.613377431,123991,27574.9590180901,1228405,273190.937508505
county:39007,county,39007,Ashtabula County,1987,718688,159832.505155964,241748,53763.5085829234,2041169,453945.459944641
county:39009,county,39009,Athens County,1987,244373,54347.2950466384,129692,28842.8320198574,1462779,325314.506516786
county:39011,county,39011,Auglaize County,1987,929361,206685.093982719,124613,27713.2886106352,1156582,257217.872676732
county:39013,county,39013,Belmont County,1987,453959,100958.140678704,157400,35004.948338568,1557937,346477.155017431
county:39015,county,39015,Brown County,1987,829814,184546.354514742,116532,25916.1158817662,1418496,315466.195670047
county:39017,county,39017,Butler County,1987,712280,158407.39899997,349496,77726.1081609667,1352569,300804.370834489
county:39019,county,39019,Carroll County,1987,403435,89721.8636148042,94926,21111.0528969943,1148116,255335.077933185
county:39021,county,39021,Champaign County,1987,983094,218635.036098832,98098,21816.4893400054,1236730,275042.374579144
county:39023,county,39023,Clark County,1987,809778,180090.451433983,205861,45782.4248406985,1155670,257015.048579624
county:39025,county,39025,Clermont County,1987,487637,108447.954212035,216492,48146.7044200335,1323627,294367.819279122
county:39027,county,39027,Clinton County,1987,930618,206964.644300772,106756,23741.9838934699,1186670,263909.288722544
county:39029,county,39029,Columbiana County,1987,623279,138614.035549646,208023,46263.2424919564,1538677,342193.830335088
county:39031,county,39031,Coshocton County,1987,559039,124327.39081477,123077,27371.6901312956,1632802,363126.744962583
county:39033,county,39033,Crawford County,1987,923413,205362.289454651,119506,26577.5181457999,1158895,257732.271949331
county:39035,county,39035,Cuyahoga County,1987,23716,5274.31610417712,1025386,228040.558812522,1320345,293637.919403345
county:39037,county,39037,Darke County,1987,1455084,323603.178197439,156272,34754.086955303,1725948,383841.935038467
county:39039,county,39039,Defiance County,1987,913400,203135.449888488,118396,26330.6598697147,1191770,265043.502423476
county:39041,county,39041,Delaware County,1987,863512,192040.61594494,168163,37398.5840372212,1316041,292680.731997696
county:39043,county,39043,Erie County,1987,425714,94676.5983291305,143151,31836.0442161013,739847,164538.157645772
county:39045,county,39045,Fairfield County,1987,926409,206028.584405238,182373,40558.8147607984,1463368,325445.497079502
county:39047,county,39047,Fayette County,1987,1025876,228149.532285748,88828,19754.889142429,1171090,260444.377063619
county:39049,county,39049,Franklin County,1987,562962,125199.845785114,828798,184320.401353929,1564407,347916.049653711
county:39051,county,39051,Fulton County,1987,973975,216607.017522597,111735,24849.2878183602,1172318,260717.477931216
county:39053,county,39053,Gallia County,1987,311712,69323.1414009638,110171,24501.4622834077,1355917,301548.948769925
county:39055,county,39055,Geauga County,1987,294733,65547.0993562336,176879,39336.9774915983,1175283,261376.87864166
county:39057,county,39057,Greene County,1987,787071,175040.531726716,225614,50175.3901807985,1197827,266390.547989466
county:39059,county,39059,Guernsey County,1987,421693,93782.3486641408,135421,30116.9320772377,1520278,338101.987612843
county:39061,county,39061,Hamilton County,1987,123782,27528.4784958362,710438,157997.747698574,1187507,264095.433206403
county:39063,county,39063,Hancock County,1987,1252600,278571.780742632,175155,38953.5687817146,1535617,341513.302114528
county:39065,county,39065,Hardin County,1987,1144262,254477.96820703,106927,23780.0134116776,1353891,301098.376817358
county:39067,county,39067,Harrison County,1987,339026,75397.6341514063,87254,19404.8396590433,1181884,262844.907002415
county:39069,county,39069,Henry County,1987,1030524,229183.2235175,111576,24813.9270382723,1207784,268604.933444403
county:39071,county,39071,Highland County,1987,1044287,232244.043746113,120772,26859.070017443,1605796,357120.749823883
county:39073,county,39073,Hocking County,1987,162233,36079.7826163336,82373,18319.3304287984,1219168,271136.676340758
county:39075,county,39075,Holmes County,1987,644868,143415.317822082,96685,21502.2454263942,1220470,271426.23442676
county:39077,county,39077,Huron County,1987,1037597,230756.222244302,141742,31522.6898818634,1426112,317159.954796772
county:39079,county,39079,Jackson County,1987,286959,63818.2018442639,100451,22339.7844063373,1212817,269724.246690832
county:39081,county,39081,Jefferson County,1987,259275,57661.423001793,140523,31251.5905678564,1182376,262954.325265328
