code,class_name,red,green,blue,hex,is_ag,is_primary
0,Background,0,0,0,#000000,FALSE,FALSE
1,Corn,255,212,0,#FFD400,TRUE,TRUE
2,Cotton,255,38,38,#FF2626,TRUE,FALSE
3,Rice,0,169,230,#00A9E6,TRUE,FALSE
4,Sorghum,255,158,15,#FF9E0F,TRUE,FALSE
5,Soybeans,38,115,0,#267300,TRUE,TRUE
6,Sunflower,255,255,0,#FFFF00,TRUE,FALSE
7,Code 7,0,0,0,#000000,TRUE,FALSE
8,Code 8,0,0,0,#000000,TRUE,FALSE
9,Code 9,0,0,0,#000000,TRUE,FALSE
10,Peanuts,112,168,0,#70A800,TRUE,FALSE
11,Tobacco,0,175,77,#00AF4D,TRUE,FALSE
12,Sweet Corn,224,166,15,#E0A60F,TRUE,FALSE
13,Pop or Orn Corn,224,166,15,#E0A60F,TRUE,FALSE
14,Mint,128,212,255,#80D4FF,TRUE,FALSE
15,Code 15,0,0,0,#000000,TRUE,FALSE
16,Code 16,0,0,0,#000000,TRUE,FALSE
17,Code 17,0,0,0,#000000,TRUE,FALSE
18,Code 18,0,0,0,#000000,TRUE,FALSE
19,Code 19,0,0,0,#000000,TRUE,FALSE
20,Code 20,0,0,0,#000000,TRUE,FALSE
21,Barley,226,0,127,#E2007F,TRUE,FALSE
22,Durum Wheat,138,100,83,#8A6453,TRUE,FALSE
23,Spring Wheat,217,181,108,#D9B56C,TRUE,FALSE
24,Winter Wheat,168,112,0,#A87000,TRUE,TRUE
25,Other Small Grains,214,157,188,#D69DBC,TRUE,FALSE
26,Dbl Crop WinWht/Soybeans,115,115,0,#737300,TRUE,FALSE
27,Rye,174,1,126,#AE017E,TRUE,FALSE
28,Oats,161,88,137,#A15889,TRUE,FALSE
29,Millet,115,0,76,#73004C,TRUE,FALSE
30,Speltz,214,157,188,#D69DBC,TRUE,FALSE
31,Canola,209,255,0,#D1FF00,TRUE,FALSE
32,Flaxseed,128,153,255,#8099FF,TRUE,FALSE
33,Safflower,214,214,0,#D6D600,TRUE,FALSE
34,Rape Seed,209,255,0,#D1FF00,TRUE,FALSE
35,Mustard,0,175,77,#00AF4D,TRUE,FALSE
36,Alfalfa,255,168,227,#FFA8E3,TRUE,TRUE
37,Other Hay/Non Alfalfa,165,245,141,#A5F58D,TRUE,FALSE
38,Camelina,0,175,77,#00AF4D,TRUE,FALSE
39,Buckwheat,214,157,188,#D69DBC,TRUE,FALSE
40,Code 40,0,0,0,#000000,TRUE,FALSE
41,Sugarbeets,169,0,230,#A900E6,TRUE,FALSE
42,Dry Beans,168,0,0,#A80000,TRUE,FALSE
43,Potatoes,115,38,0,#732600,TRUE,FALSE
44,Other Crops,0,175,77,#00AF4D,TRUE,FALSE
45,Sugarcane,179,128,255,#B380FF,TRUE,FALSE
46,Sweet Potatoes,115,38,0,#732600,TRUE,FALSE
47,Misc Vegs & Fruits,255,102,102,#FF6666,TRUE,FALSE
48,Watermelons,255,102,102,#FF6666,TRUE,FALSE
49,Onions,255,204,102,#FFCC66,TRUE,FALSE
50,Cucumbers,255,102,102,#FF6666,TRUE,FALSE
51,Chick Peas,0,175,77,#00AF4D,TRUE,FALSE
52,Lentils,0,222,176,#00DEB0,TRUE,FALSE
53,Peas,85,255,0,#55FF00,TRUE,FALSE
54,Tomatoes,245,162,122,#F5A27A,TRUE,FALSE
55,Caneberries,255,102,102,#FF6666,TRUE,FALSE
56,Hops,0,175,77,#00AF4D,TRUE,FALSE
57,Herbs,128,212,255,#80D4FF,TRUE,FALSE
58,Clover/Wildflowers,232,190,255,#E8BEFF,TRUE,FALSE
59,Sod/Grass Seed,178,255,222,#B2FFDE,TRUE,FALSE
60,Switchgrass,0,175,77,#00AF4D,TRUE,FALSE
61,Fallow/Idle Cropland,191,191,122,#BFBF7A,TRUE,FALSE
62,Code 62,0,0,0,#000000,TRUE,FALSE
63,Forest,149,206,147,#95CE93,FALSE,FALSE
64,Shrubland,199,215,158,#C7D79E,FALSE,FALSE
65,Barren,204,191,163,#CCBFA3,FALSE,FALSE
66,Cherries,255,0,255,#FF00FF,TRUE,FALSE
67,Peaches,255,145,171,#FF91AB,TRUE,FALSE
68,Apples,185,0,80,#B90050,TRUE,FALSE
69,Grapes,112,68,137,#704489,TRUE,FALSE
70,Christmas Trees,0,120,120,#007878,TRUE,FALSE
71,Other Tree Crops,179,156,112,#B39C70,TRUE,FALSE
72,Citrus,255,255,128,#FFFF80,TRUE,FALSE
73,Code 73,0,0,0,#000000,TRUE,FALSE
74,Pecans,182,112,92,#B6705C,TRUE,FALSE
75,Almonds,0,168,132,#00A884,TRUE,FALSE
76,Walnuts,235,214,176,#EBD6B0,TRUE,FALSE
77,Pears,179,156,112,#B39C70,TRUE,FALSE
